cluster;gene;avrg_expression;pct_expression;ligand
LNd_Trissin;TrissinR;-0.445;28.75;Trissin
LPN;TrissinR;-0.441;35.8490566;Trissin
DN3;TrissinR;-0.248;60.43956044;Trissin
DN3_VGlut;TrissinR;1.05;80.64516129;Trissin
DN2;TrissinR;-0.232;55.88235294;Trissin
DN1p_sNPF;TrissinR;-0.307;70.10309278;Trissin
DN1p;TrissinR;-0.163;81.20805369;Trissin
DN1p_AstA;TrissinR;-0.345;56.55172414;Trissin
DN1p_CNMa;TrissinR;-0.03;70.58823529;Trissin
DN1p_CNMa_AstC;TrissinR;1.435;93.75;Trissin
DN1p_Rh7;TrissinR;-0.365;45.5399061;Trissin
DN1a;TrissinR;-0.269;68.98148148;Trissin
l-LNv;Pdfr;-0.200451469;98.57142857;DH31
s-LNv;Pdfr;0.066684279;98.48024316;DH31
LN_ITP;Pdfr;0.964509209;100;DH31
LNd_NPF;Pdfr;-0.643371354;93.18181818;DH31
LNd_Trissin;Pdfr;1.259044255;100;DH31
LPN;Pdfr;0.24618636;100;DH31
DN3;Pdfr;-0.445235328;97.8021978;DH31
DN3_VGlut;Pdfr;-0.510633267;97.58064516;DH31
DN2;Pdfr;1.302665141;100;DH31
DN1p_sNPF;Pdfr;0.764438333;98.96907216;DH31
DN1p;Pdfr;1.458361008;100;DH31
DN1p_AstA;Pdfr;0.398569703;98.62068966;DH31
DN1p_CNMa;Pdfr;1.362494578;100;DH31
DN1p_CNMa_AstC;Pdfr;1.540526479;100;DH31
DN1p_Rh7;Pdfr;-0.421787312;98.5915493;DH31
DN1a;Pdfr;0.405774875;99.53703704;DH31
