root_id,morphology_cluster
720575940626603539,MC_1.282
720575940618407451,MC_1.282
720575940627014172,MC_1.282
720575940617129501,MC_1.282
720575940604630560,MC_1.282
720575940620983841,MC_1.282
720575940623307303,MC_1.282
720575940629118508,MC_1.282
720575940618433073,MC_1.282
720575940618175025,MC_1.282
720575940617514550,MC_1.282
720575940619600449,MC_1.282
720575940621398604,MC_1.282
720575940638421582,MC_1.282
720575940627848783,MC_1.282
720575940626488914,MC_1.282
720575940615808598,MC_1.282
720575940630037079,MC_1.282
720575940615791190,MC_1.282
720575940633104992,MC_1.282
720575940610219618,MC_1.282
720575940630836840,MC_1.282
720575940635174511,MC_1.282
720575940635104879,MC_1.282
720575940648819321,MC_1.282
720575940605903490,MC_1.282
720575940619245191,MC_1.282
720575940622007944,MC_1.282
720575940641706637,MC_1.282
720575940625690256,MC_1.282
720575940622366355,MC_1.282
720575940610844309,MC_1.282
720575940625700504,MC_1.282
720575940642737824,MC_1.282
720575940615141031,MC_1.282
720575940613322407,MC_1.282
720575940603909804,MC_1.282
720575940635586222,MC_1.282
720575940634785460,MC_1.282
720575940635593396,MC_1.282
720575940623927992,MC_1.282
720575940626166458,MC_1.282
720575940615085755,MC_1.282
720575940604601022,MC_1.282
720575940604401342,MC_1.282
720575940607860419,MC_1.282
720575940607861443,MC_1.282
720575940631677647,MC_1.282
720575940610082514,MC_1.282
720575940629459671,MC_1.282
720575940642202331,MC_1.282
720575940621730525,MC_1.282
720575940615867103,MC_1.282
720575940632714977,MC_1.282
720575940624039655,MC_1.282
720575940623548135,MC_1.282
720575940623690471,MC_1.282
720575940622864107,MC_1.282
720575940618213103,MC_1.282
720575940611123954,MC_1.282
720575940650033910,MC_1.282
720575940634500856,MC_1.282
720575940625637122,MC_1.282
720575940628035331,MC_1.282
720575940623181575,MC_1.282
720575940607429385,MC_1.282
720575940608915211,MC_1.282
720575940615097100,MC_1.282
720575940625153820,MC_1.282
720575940633107231,MC_1.282
720575940625301285,MC_1.282
720575940623921961,MC_1.282
720575940627861291,MC_1.282
720575940614983474,MC_1.282
720575940631902009,MC_1.282
720575940629317436,MC_1.282
720575940620682049,MC_1.282
720575940608832324,MC_1.282
720575940608525124,MC_1.282
720575940637538118,MC_1.282
720575940609058628,MC_1.282
720575940629565263,MC_1.282
720575940637034330,MC_1.282
720575940635204448,MC_1.282
720575940619929441,MC_1.282
720575940619928417,MC_1.282
720575940635722597,MC_1.282
720575940628012903,MC_1.282
720575940635210615,MC_1.282
720575940648920953,MC_1.282
720575940650149753,MC_1.282
720575940618126203,MC_1.282
720575940627296122,MC_1.282
720575940626183049,MC_1.282
720575940635449230,MC_1.282
720575940635479950,MC_1.282
720575940610800533,MC_1.282
720575940611763097,MC_1.282
720575940634185626,MC_1.282
720575940616980381,MC_1.282
720575940616910749,MC_1.282
720575940637394851,MC_1.282
720575940631331748,MC_1.282
720575940619194277,MC_1.282
720575940632723364,MC_1.282
720575940626796456,MC_1.282
720575940604058540,MC_1.282
720575940623585208,MC_1.282
720575940628327362,MC_1.282
720575940610317262,MC_1.282
720575940610256846,MC_1.282
720575940633853907,MC_1.282
720575940616629204,MC_1.282
720575940607854549,MC_1.282
720575940609790933,MC_1.282
720575940616365017,MC_1.282
720575940611027930,MC_1.282
720575940640305115,MC_1.282
720575940629311452,MC_1.282
720575940603552736,MC_1.282
720575940613726179,MC_1.282
720575940624955367,MC_1.282
720575940623145963,MC_1.282
720575940612574189,MC_1.282
720575940619674606,MC_1.282
720575940640956405,MC_1.282
720575940642040821,MC_1.282
720575940634721272,MC_1.282
720575940629743609,MC_1.282
720575940629863424,MC_2.263
720575940616978433,MC_2.263
720575940622201863,MC_2.263
720575940608038921,MC_2.263
720575940601712649,MC_2.263
720575940623501325,MC_2.263
720575940613394454,MC_2.263
720575940645412887,MC_2.263
720575940644346903,MC_2.263
720575940605851680,MC_2.263
720575940618316834,MC_2.263
720575940646978595,MC_2.263
720575940628212780,MC_2.263
720575940632740911,MC_2.263
720575940614594610,MC_2.263
720575940647410740,MC_2.263
720575940647557172,MC_2.263
720575940629580855,MC_2.263
720575940617645115,MC_2.263
720575940617442363,MC_2.263
720575940639055933,MC_2.263
720575940635913279,MC_2.263
720575940617066560,MC_2.263
720575940639311942,MC_2.263
720575940637711438,MC_2.263
720575940637918286,MC_2.263
720575940615043158,MC_2.263
720575940640463960,MC_2.263
720575940619249761,MC_2.263
720575940625673316,MC_2.263
720575940630705256,MC_2.263
720575940633626731,MC_2.263
720575940631042156,MC_2.263
720575940637713520,MC_2.263
720575940640138355,MC_2.263
720575940617226357,MC_2.263
720575940634531959,MC_2.263
720575940627179651,MC_2.263
720575940635050126,MC_2.263
720575940621918355,MC_2.263
720575940611685525,MC_2.263
720575940614139030,MC_2.263
720575940611911829,MC_2.263
